,isin,bbticker,script_name,start_date,end_date
381,INE628A01036,UPLL IN Equity,UPL,1900-01-01,9999-12-31
382,INE228A01035,USM IN Equity,USHAMART,1900-01-01,9999-12-31
383,INE694A01020,UT IN Equity,UNITECH,1900-01-01,9999-12-31
384,INE481G01011,UTCEM IN Equity,ULTRACEMCO,1900-01-01,9999-12-31
385,INE699A01011,UTTM IN Equity,UTTM,1900-01-01,2024-08-01
386,INE507B01022,UTV IN Equity,UTV,1900-01-01,2024-08-01
387,INE703A01011,VCLF IN Equity,VCLF,1900-01-01,2024-08-01
388,INE205A01025,VEDL IN Equity,VEDL,1900-01-01,9999-12-31
389,INE386A01015,VI IN Equity,VESUVIUS,1900-01-01,9999-12-31
390,INE054A01027,VIP IN Equity,VIPIND,1900-01-01,9999-12-31
391,INE317A01028,SAPH IN Equity,SAPH,1900-01-01,2024-08-01
392,INE979A01025,SARE IN Equity,SAREGAMA,1900-01-01,9999-12-31
393,INE062A01020,SBIN IN Equity,SBIN,1900-01-01,9999-12-31
394,INE513A01022,SCHFL IN Equity,SCHAEFFLER,1900-01-01,9999-12-31
395,INE109A01011,SCI IN Equity,SCI,1900-01-01,9999-12-31
396,INE497B01018,SEAM IN Equity,SEAMECLTD,1900-01-01,9999-12-31
397,INE387A01021,SF IN Equity,SUNDRMFAST,1900-01-01,9999-12-31
398,INE631A01022,SG IN Equity,SHANTIGEAR,1900-01-01,9999-12-31
399,INE178C01020,SHDSL IN Equity,SMARTLINK,1900-01-01,9999-12-31
400,INE721A01013,SHFL IN Equity,SHRIRAMFIN,1900-01-01,9999-12-31
401,INE013A01015,RCAPT IN Equity,RCAPT,1900-01-01,2024-08-01
402,INE027A01015,RCF IN Equity,RCF,1900-01-01,9999-12-31
403,INE330H01018,RCOM IN Equity,RCOM,1900-01-01,9999-12-31
404,INE944F01028,RDCK IN Equity,RADICO,1900-01-01,9999-12-31
405,INE020B01018,RECL IN Equity,RECLTD,1900-01-01,9999-12-31
406,INE891D01026,REDI IN Equity,REDINGTON,1900-01-01,9999-12-31
407,INE385B01031,REIA IN Equity,REIA,1900-01-01,2024-08-01
408,INE621H01010,RELG IN Equity,RELIGARE,1900-01-01,9999-12-31
409,INE036A01016,RELI IN Equity,RELINFRA,1900-01-01,9999-12-31
410,INE002A01018,RELIANCE IN Equity,RELIANCE,1900-01-01,9999-12-31
411,INE561H01026,PARSV IN Equity,PARSVNATH,1900-01-01,9999-12-31
412,INE619A01035,PATANJAL IN Equity,PATANJALI,1900-01-01,9999-12-31
413,INE660F01012,PATNI IN Equity,PATNI,1900-01-01,2024-08-01
414,INE244B01030,PEC IN Equity,PATELENG,1900-01-01,9999-12-31
415,INE182A01018,PFIZ IN Equity,PFIZER,1900-01-01,9999-12-31
416,INE179A01014,PG IN Equity,PGHH,1900-01-01,9999-12-31
417,INE199A01012,PGHL IN Equity,PGHL,1900-01-01,9999-12-31
418,INE940H01022,PGIL IN Equity,PGIL,1900-01-01,9999-12-31
419,INE859A01011,PGLT IN Equity,PNBGILTS,1900-01-01,9999-12-31
420,INE211B01039,PHNX IN Equity,PHOENIXLTD,1900-01-01,9999-12-31
421,INE318A01026,PIDI IN Equity,PIDILITIND,1900-01-01,9999-12-31
422,INE140A01024,PIEL IN Equity,PEL,1900-01-01,9999-12-31
423,INE347G01014,PLNG IN Equity,PETRONET,1900-01-01,9999-12-31
424,INE160A01022,PNB IN Equity,PNB,1900-01-01,9999-12-31
425,INE922B01023,PNCB IN Equity,PANACEABIO,1900-01-01,9999-12-31
426,INE763A01023,POL IN Equity,POL,1900-01-01,2024-08-01
427,INE134E01011,POWF IN Equity,PFC,1900-01-01,9999-12-31
428,INE605A01026,PRIC IN Equity,PRIC,1900-01-01,2024-08-01
429,INE074A01025,PRJ IN Equity,PRAJIND,1900-01-01,9999-12-31
430,INE010A01011,PRSMJ IN Equity,PRSMJOHNSN,1900-01-01,9999-12-31
431,INE733E01010,NTPC IN Equity,NTPC,1900-01-01,9999-12-31
432,INE800H01010,OAXE IN Equity,OMAXE,1900-01-01,9999-12-31
433,INE141A01014,OBC IN Equity,OBC,1900-01-01,2024-08-01
434,INE881D01027,OFSS IN Equity,OFSS,1900-01-01,9999-12-31
435,INE090B01011,OMAX IN Equity,OMAXAUTO,1900-01-01,9999-12-31
436,INE213A01029,ONGC IN Equity,ONGC,1900-01-01,9999-12-31
437,INE592A01026,OPI IN Equity,ORIENTPPR,1900-01-01,9999-12-31
438,INE191A01027,ORCP IN Equity,ORCHPHARMA,1900-01-01,9999-12-31
439,INE143A01010,OSWALGRE IN Equity,OSWALGREEN,1900-01-01,9999-12-31
440,INE750A01020,OTH IN Equity,ORIENTHOT,1900-01-01,9999-12-31
441,INE772A01016,SKNL IN Equity,SKNL,1900-01-01,2024-08-01
442,INE324C01038,SLT IN Equity,SLT,1900-01-01,2024-08-01
443,INE667A01018,SNDB IN Equity,SNDB,1900-01-01,2024-08-01
444,INE671H01015,SOBHA IN Equity,SOBHA,1900-01-01,9999-12-31
445,INE089C01029,SOTL IN Equity,STLTECH,1900-01-01,9999-12-31
446,INE202C01010,SPPM IN Equity,SPPM,1900-01-01,2024-08-01
447,INE663A01033,SPPT IN Equity,SPLPETRO,1900-01-01,9999-12-31
448,INE070A01015,SRCM IN Equity,SHREECEM,1900-01-01,9999-12-31
449,INE872A01014,SREI IN Equity,SREI,1900-01-01,2024-08-01
450,INE647A01010,SRF IN Equity,SRF,1900-01-01,9999-12-31
451,INE886H01027,TV18 IN Equity,TV18BRDCST,1900-01-01,9999-12-31
452,INE494B01023,TVSL IN Equity,TVSMOTOR,1900-01-01,9999-12-31
453,INE038F01029,TVTN IN Equity,TVTODAY,1900-01-01,9999-12-31
454,INE686F01025,UBBL IN Equity,UBL,1900-01-01,9999-12-31
455,INE691A01018,UCO IN Equity,UCOBANK,1900-01-01,9999-12-31
456,INE516A01017,UFLX IN Equity,UFLEX,1900-01-01,9999-12-31
457,INE466H01028,UIP IN Equity,UIP,1900-01-01,2024-08-01
458,INE351A01035,UL IN Equity,UNICHEMLAB,1900-01-01,9999-12-31
459,INE692A01016,UNBK IN Equity,UNIONBANK,1900-01-01,9999-12-31
460,INE854D01024,UNITDSPR IN Equity,UNITDSPR,1900-01-01,9999-12-31
461,INE049B01025,WPL IN Equity,WOCKPHARMA,1900-01-01,9999-12-31
462,INE075A01022,WPRO IN Equity,WIPRO,1900-01-01,9999-12-31
463,INE378A01012,WYH IN Equity,WYH,1900-01-01,2024-08-01
464,INE528G01035,YES IN Equity,YESBANK,1900-01-01,9999-12-31
465,INE256A01028,Z IN Equity,ZEEL,1900-01-01,9999-12-31
466,INE206B01013,ZDC IN Equity,ZODIACLOTH,1900-01-01,9999-12-31
467,INE966H01019,ZEEN IN Equity,ZEEMEDIA,1900-01-01,9999-12-31
468,INE520A01027,ZENT IN Equity,ZENSARTECH,1900-01-01,9999-12-31
469,INE719A01017,ZNDU IN Equity,ZNDU,1900-01-01,2024-08-01
470,INE217A01012,ZUARIIND IN Equity,ZUARIIND,1900-01-01,9999-12-31
471,INE269A01021,SSOF IN Equity,SONATSOFTW,1900-01-01,9999-12-31
472,INE655A01013,STC IN Equity,STCINDIA,1900-01-01,9999-12-31
473,INE268A01049,STLT IN Equity,STLT,1900-01-01,2024-08-01
474,INE939A01011,STR IN Equity,STAR,1900-01-01,9999-12-31
475,INE623A01011,STSG IN Equity,SAKHTISUG,1900-01-01,9999-12-31
476,INE040H01021,SUEL IN Equity,SUZLON,1900-01-01,9999-12-31
477,INE660A01013,SUF IN Equity,SUNDARMFIN,1900-01-01,9999-12-31
478,INE044A01036,SUNP IN Equity,SUNPHARMA,1900-01-01,9999-12-31
479,INE424H01027,SUNTV IN Equity,SUNTV,1900-01-01,9999-12-31
480,INE277A01016,SWE IN Equity,SWARAJENG,1900-01-01,9999-12-31
481,INE705A01016,VJYBK IN Equity,VJYBK,1900-01-01,2024-08-01
482,INE226A01021,VOLT IN Equity,VOLTAS,1900-01-01,9999-12-31
483,INE945H01013,VREL IN Equity,V2RETAIL,1900-01-01,9999-12-31
484,INE702A01013,VRNS IN Equity,VRNS,1900-01-01,2024-08-01
485,INE710A01016,VST IN Equity,VSTIND,1900-01-01,9999-12-31
486,INE825A01020,VTEX IN Equity,VTL,1900-01-01,9999-12-31
487,INE166A01011,VYSB IN Equity,VYSB,1900-01-01,2024-08-01
