trade_date,LongGain,ShortGain,ExposureReturn,Turnover,TransactionCost,BenchmarkReturn
2018-01-02,-0.0033298437395452743,,-0.004829843739545274,1.0,0.0015,-0.0017647994064338146
2018-01-03,0.004592164458963236,,0.004592164458963236,0.0,0.0,0.002282898963139157
2018-01-04,0.007559309297338948,,0.007559309297338948,0.0,0.0,0.0070343826640604235
2018-01-05,0.005996346464636309,,0.005996346464636309,0.0,0.0,0.0071220051021749775
2018-01-08,0.005508651784760058,,0.005508651784760058,0.0,0.0,0.006873175292083866
2018-01-09,-0.0017286733428437833,,-0.0017286733428437833,0.0,0.0,0.00015561376663120186
2018-01-10,0.00010860459507501608,,0.00010860459507501608,0.0,0.0,-0.0010528226538391028
2018-01-11,0.001179179586898663,,0.001179179586898663,0.0,0.0,0.002045563100949055
2018-01-12,0.0007231944801693821,,0.0007231944801693821,0.0,0.0,0.001543993450980885
2018-01-15,0.0007494908110717868,,0.0007494908110717868,0.0,0.0,0.0035850266937051956
2018-01-16,-0.012557001806980009,,-0.012557001806980009,0.0,0.0,-0.008994984458522537
2018-01-17,0.005492102463612566,,0.005492102463612566,0.0,0.0,0.007698229407236301
2018-01-18,-0.011605523942896488,,-0.011605523942896488,0.0,0.0,-0.004108768814651276
2018-01-19,0.007637918480449888,,0.007637918480449888,0.0,0.0,0.007909358543765954
2018-01-22,0.005868899450355969,,0.005868899450355969,0.0,0.0,0.006602832429986272
2018-01-23,0.004663998342621174,,0.004663998342621174,0.0,0.0,0.009185372881182818
2018-01-24,-0.002236398535029767,,-0.002236398535029767,0.0,0.0,-0.0023589681286195763
2018-01-25,-0.005224666091724859,,-0.005224666091724859,0.0,0.0,-0.004455088848070221
2018-01-29,-0.008455070579812912,,-0.008455070579812912,0.0,0.0,0.0009633027522937265
2018-01-30,-0.01291298257629363,,-0.01291298257629363,0.0,0.0,-0.007780476503266631
2018-01-31,-0.014602343687275492,,-0.014602343687275492,0.0,0.0,-0.00463407249269987
2018-02-01,-0.002604819446299079,,-0.002604819446299079,0.0,0.0,-0.0011187989152291467
2018-02-02,-0.03547666899974003,,-0.03605668659404735,0.3866783962048798,0.0005800175943073198,-0.028620684315658562
