trade_date,LongGain,ShortGain,ExposureReturn,Turnover,TransactionCost,BenchmarkReturn
2018-01-02,0.0025934031120837496,,0.0010934031120837496,1.0,0.0015,-0.0017647994064338146
2018-01-03,0.0005615443646978454,,0.0005615443646978454,0.0,0.0,0.002282898963139157
2018-01-04,0.013699973842532015,,0.013699973842532015,0.0,0.0,0.0070343826640604235
2018-01-05,-0.003908551729454958,,-0.003908551729454958,0.0,0.0,0.0071220051021749775
2018-01-08,0.004497475525799655,,0.004497475525799655,0.0,0.0,0.006873175292083866
2018-01-09,0.0001375949232976993,,0.0001375949232976993,0.0,0.0,0.00015561376663120186
2018-01-10,0.0012391666275230495,,0.0012391666275230495,0.0,0.0,-0.0010528226538391028
2018-01-11,0.0011699116010083048,,0.0011699116010083048,0.0,0.0,0.002045563100949055
2018-01-12,0.0040077547436829,,0.0040077547436829,0.0,0.0,0.001543993450980885
2018-01-15,0.0042766730139784555,,0.0042766730139784555,0.0,0.0,0.0035850266937051956
2018-01-16,-0.005357105008786222,,-0.005357105008786222,0.0,0.0,-0.008994984458522537
2018-01-17,0.004030573474537311,,0.004030573474537311,0.0,0.0,0.007698229407236301
2018-01-18,-0.002877660019821741,,-0.002877660019821741,0.0,0.0,-0.004108768814651276
2018-01-19,0.01189242472794817,,0.01189242472794817,0.0,0.0,0.007909358543765954
2018-01-22,0.008749506936848558,,0.008749506936848558,0.0,0.0,0.006602832429986272
2018-01-23,0.007043691009637769,,0.007043691009637769,0.0,0.0,0.009185372881182818
2018-01-24,0.004998812701247116,,0.004998812701247116,0.0,0.0,-0.0023589681286195763
2018-01-25,0.0036473860777822267,,0.0036473860777822267,0.0,0.0,-0.004455088848070221
2018-01-29,-0.007716501621572778,,-0.007716501621572778,0.0,0.0,0.0009633027522937265
2018-01-30,-0.016826390175314995,,-0.016826390175314995,0.0,0.0,-0.007780476503266631
2018-01-31,-0.03392930742745946,,-0.03392930742745946,0.0,0.0,-0.00463407249269987
2018-02-01,-0.018088915887999876,,-0.018088915887999876,0.0,0.0,-0.0011187989152291467
2018-02-02,-0.032016120967258026,,-0.032808453051715106,0.528221389638054,0.000792332084457081,-0.028620684315658562
2018-02-05,-0.007975611353680202,,-0.007975611353680202,0.0,0.0,-0.006950200854428323
2018-02-06,-0.03285065912939515,,-0.03285065912939515,0.0,0.0,-0.016464406489448247
2018-02-07,0.02387820937335044,,0.02387820937335044,0.0,0.0,0.0017191571777532832
2018-02-08,0.018251070056773115,,0.018251070056773115,0.0,0.0,0.012627154083866055
2018-02-09,-0.012978428227812863,,-0.012978428227812863,0.0,0.0,-0.0076695342501018615
2018-02-12,0.025552894355278882,,0.025552894355278882,0.0,0.0,0.010523072931867494
2018-02-14,0.0006030337802994134,,0.0006030337802994134,0.0,0.0,-0.002326588899764115
2018-02-15,-0.009875227862419036,,-0.009875227862419036,0.0,0.0,-0.00033237908370598035
2018-02-16,-0.01036879696166114,,-0.01036879696166114,0.0,0.0,-0.009438414346389812
2018-02-19,-0.014532035084359815,,-0.014532035084359815,0.0,0.0,-0.008191129975312905
2018-02-20,0.0014451056287307688,,0.0014451056287307688,0.0,0.0,-0.0009716210241323964
2018-02-21,0.008932089042916065,,0.008932089042916065,0.0,0.0,0.001808535632523256
2018-02-22,-0.0043168655847502105,,-0.0043168655847502105,0.0,0.0,-0.0031742222610061654
2018-02-23,0.0130592314656034,,0.0130592314656034,0.0,0.0,0.012348853750615563
2018-02-26,0.010903464559129127,,0.010903464559129127,0.0,0.0,0.008787906629843079
2018-02-27,-0.006924206020549575,,-0.006924206020549575,0.0,0.0,-0.003257381343991228
2018-02-28,0.0030436498696168415,,0.0030436498696168415,0.0,0.0,-0.004337660243489472
2018-03-01,-0.002264285455557258,,-0.002264285455557258,0.0,0.0,-0.003946274522506066
2018-03-05,-0.0016169761485513143,,-0.0025022620665107777,0.5901906119729756,0.0008852859179594634,-0.009674429696434284
2018-03-06,-0.012598007944252742,,-0.012598007944252742,0.0,0.0,-0.010540602664156573
2018-03-07,-0.005641549114095752,,-0.005641549114095752,0.0,0.0,-0.011388526294829449
2018-03-08,0.006889143959205259,,0.006889143959205259,0.0,0.0,0.0071445755495505026
2018-03-09,-0.007426079792142735,,-0.007426079792142735,0.0,0.0,-0.001588765318253138
2018-03-12,0.006766971964380618,,0.006766971964380618,0.0,0.0,0.015061648713611708
2018-03-13,0.0055977571642141875,,0.0055977571642141875,0.0,0.0,0.0039630553347766995
2018-03-14,-0.0068319524103593625,,-0.0068319524103593625,0.0,0.0,-0.0006933904060975049
2018-03-15,0.0019338411020456846,,0.0019338411020456846,0.0,0.0,-0.0019286350399658758
2018-03-16,-0.014183459658804678,,-0.014183459658804678,0.0,0.0,-0.014172478349883333
2018-03-19,-0.020497461442450203,,-0.020497461442450203,0.0,0.0,-0.012243946048898002
2018-03-20,0.008723759852521865,,0.008723759852521865,0.0,0.0,0.002951361561466914
2018-03-21,0.008121701254857911,,0.008121701254857911,0.0,0.0,0.0032117213817688395
2018-03-22,-0.004443657103781163,,-0.004443657103781163,0.0,0.0,-0.0050396129219698604
2018-03-23,-0.012172460577885442,,-0.012172460577885442,0.0,0.0,-0.011590296495956998
2018-03-26,0.007965622338257932,,0.007965622338257932,0.0,0.0,0.012902236160349245
2018-03-27,-0.0008062846461824619,,-0.0008062846461824619,0.0,0.0,0.007151390735163021
2018-03-28,0.0016424290773525902,,0.0016424290773525902,0.0,0.0,-0.007351221305175959
2018-04-02,0.021580106951186902,,0.02108411931495073,0.33065842415744845,0.0004959876362361727,0.012511080441197864
