trade_date,LongGain,ShortGain,ExposureReturn,Turnover,TransactionCost,BenchmarkReturn
2018-01-02,-0.007940857722248607,,-0.009440857722248607,1.0,0.0015,-0.0017647994064338146
2018-01-03,0.0018116252506484949,,0.0018116252506484949,0.0,0.0,0.002282898963139157
2018-01-04,0.0072017984873063,,0.0072017984873063,0.0,0.0,0.0070343826640604235
2018-01-05,0.003459353693137856,,0.003459353693137856,0.0,0.0,0.0071220051021749775
2018-01-08,0.005572797341147382,,0.005572797341147382,0.0,0.0,0.006873175292083866
2018-01-09,-0.004064399865338532,,-0.004064399865338532,0.0,0.0,0.00015561376663120186
2018-01-10,-0.0010158721826398385,,-0.0010158721826398385,0.0,0.0,-0.0010528226538391028
2018-01-11,0.005327556340311527,,0.005327556340311527,0.0,0.0,0.002045563100949055
2018-01-12,0.005580663625188158,,0.005580663625188158,0.0,0.0,0.001543993450980885
2018-01-15,-0.0017968033203255875,,-0.0017968033203255875,0.0,0.0,0.0035850266937051956
2018-01-16,-0.011991177724820286,,-0.011991177724820286,0.0,0.0,-0.008994984458522537
2018-01-17,0.005266015851150931,,0.005266015851150931,0.0,0.0,0.007698229407236301
2018-01-18,-0.019103250972400246,,-0.019103250972400246,0.0,0.0,-0.004108768814651276
2018-01-19,0.00834736370696644,,0.00834736370696644,0.0,0.0,0.007909358543765954
2018-01-22,0.005203278215862878,,0.005203278215862878,0.0,0.0,0.006602832429986272
2018-01-23,0.018936651253817844,,0.018936651253817844,0.0,0.0,0.009185372881182818
2018-01-24,0.0020738119443256047,,0.0020738119443256047,0.0,0.0,-0.0023589681286195763
2018-01-25,0.0016573376217009627,,0.0016573376217009627,0.0,0.0,-0.004455088848070221
2018-01-29,-0.000377713349940489,,-0.000377713349940489,0.0,0.0,0.0009633027522937265
2018-01-30,-0.007407073098347477,,-0.007407073098347477,0.0,0.0,-0.007780476503266631
2018-01-31,-0.03365437514356538,,-0.03365437514356538,0.0,0.0,-0.00463407249269987
2018-02-01,-0.017390710994691885,,-0.017390710994691885,0.0,0.0,-0.0011187989152291467
2018-02-02,-0.036146089745782865,,-0.037045906311396426,0.5998777104090413,0.0008998165656135619,-0.028620684315658562
2018-02-05,0.0020531860502914162,,0.0020531860502914162,0.0,0.0,-0.006950200854428323
2018-02-06,-0.022653327483250416,,-0.022653327483250416,0.0,0.0,-0.016464406489448247
2018-02-07,0.014728075545027456,,0.014728075545027456,0.0,0.0,0.0017191571777532832
2018-02-08,0.019320869262612443,,0.019320869262612443,0.0,0.0,0.012627154083866055
2018-02-09,-0.008176173704807357,,-0.008176173704807357,0.0,0.0,-0.0076695342501018615
2018-02-12,0.012596456372422076,,0.012596456372422076,0.0,0.0,0.010523072931867494
2018-02-14,0.0134983234982235,,0.0134983234982235,0.0,0.0,-0.002326588899764115
2018-02-15,-0.005077173275373665,,-0.005077173275373665,0.0,0.0,-0.00033237908370598035
2018-02-16,-0.02022758384148649,,-0.02022758384148649,0.0,0.0,-0.009438414346389812
2018-02-19,-0.021221193436035814,,-0.021221193436035814,0.0,0.0,-0.008191129975312905
2018-02-20,0.003958051991897385,,0.003958051991897385,0.0,0.0,-0.0009716210241323964
2018-02-21,0.013050556562290028,,0.013050556562290028,0.0,0.0,0.001808535632523256
2018-02-22,-0.0037854363396909283,,-0.0037854363396909283,0.0,0.0,-0.0031742222610061654
2018-02-23,0.011108112239436571,,0.011108112239436571,0.0,0.0,0.012348853750615563
2018-02-26,0.005519711563712342,,0.005519711563712342,0.0,0.0,0.008787906629843079
2018-02-27,-0.00010835847359178805,,-0.00010835847359178805,0.0,0.0,-0.003257381343991228
2018-02-28,-0.001285283058293541,,-0.001285283058293541,0.0,0.0,-0.004337660243489472
2018-03-01,-0.0036282027535203946,,-0.0036282027535203946,0.0,0.0,-0.003946274522506066
2018-03-05,-0.012105715300021377,,-0.013005146017268213,0.5996204781645574,0.0008994307172468361,-0.009674429696434284
2018-03-06,-0.0129537120015153,,-0.0129537120015153,0.0,0.0,-0.010540602664156573
2018-03-07,-0.007663837355130652,,-0.007663837355130652,0.0,0.0,-0.011388526294829449
2018-03-08,0.002058659049579839,,0.002058659049579839,0.0,0.0,0.0071445755495505026
2018-03-09,-0.0103783514395058,,-0.0103783514395058,0.0,0.0,-0.001588765318253138
2018-03-12,0.013652202072133196,,0.013652202072133196,0.0,0.0,0.015061648713611708
2018-03-13,0.006263510709184146,,0.006263510709184146,0.0,0.0,0.0039630553347766995
2018-03-14,0.001073617183115091,,0.001073617183115091,0.0,0.0,-0.0006933904060975049
2018-03-15,0.004131600239561652,,0.004131600239561652,0.0,0.0,-0.0019286350399658758
2018-03-16,-0.014922807971401827,,-0.014922807971401827,0.0,0.0,-0.014172478349883333
2018-03-19,-0.02483110154331082,,-0.02483110154331082,0.0,0.0,-0.012243946048898002
2018-03-20,0.002285792537034688,,0.002285792537034688,0.0,0.0,0.002951361561466914
2018-03-21,0.006028107197181814,,0.006028107197181814,0.0,0.0,0.0032117213817688395
2018-03-22,-0.012801769971782858,,-0.012801769971782858,0.0,0.0,-0.0050396129219698604
2018-03-23,-0.00795456868617689,,-0.00795456868617689,0.0,0.0,-0.011590296495956998
2018-03-26,0.005410825385928638,,0.005410825385928638,0.0,0.0,0.012902236160349245
2018-03-27,0.0022185712196376626,,0.0022185712196376626,0.0,0.0,0.007151390735163021
2018-03-28,-0.000821680958561005,,-0.000821680958561005,0.0,0.0,-0.007351221305175959
2018-04-02,0.02615756825161379,,0.02525835211273661,0.5994774259181209,0.0008992161388771814,0.012511080441197864
